"index","m00","m10","m20","m01","m11","m21","m02","m12","m22"
"0","0.08514481422396587","-0.4350840279378302","0.056722798106088254","0.32170594836865096","0.07432505472376007","0.021195975357274528","-0.2226806245437325","0.33141928276341803","1.0"
"1","0.23285123894180587","-0.29854785226231817","0.19252114073649101","0.647145164445276","-0.08197569609255075","-0.017093350517563107","0.5504363423464019","0.6094998077029143","1.0"
"2","-0.2679838240146637","-0.039035409688949585","0.0","0.0096338652074337","-0.4410319924354553","0.0","0.40959465503692627","1.1810694932937622","1.0"
"3","0.2755838930606842","0.06226580962538719","0.0","0.00832087080925703","-0.413899302482605","0.0","-0.08804948627948761","0.38948819041252136","1.0"
"4","0","0","0",,,,,,
"5","0","0","0",,,,,,
"6","0","0","0",,,,,,
"7","0","0","0",,,,,,
"8","0","0","0",,,,,,
"9","0","0","0",,,,,,
,,,,,,,,,
,,,,,,,,,
